reag,count
CCOC=C(C#N)C(=O)OCC,21
CN(C)Cc1ccccc1,21
CSC.FB(F)F,21
COc1ccc(C2CCc3cc(OC)ccc3C2)c(N)c1,21
Cl.ClCCN1CCCCCC1,21
NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,21
Cc1ccccn1,21
CC(C)CCO,21
C=CCO,21
O=S([O-])OS(=O)[O-].[Na+].[Na+],21
CCCCNCCCC,21
Nc1nccs1,21
C1CN2CCC1CN2,21
CCCCCCCCCCCCCCCCCCCC(=O)O,21
C(OCC1CO1)C1CO1,21
NC(=O)CC[C@H](N)C(=O)O,21
O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],21
CC(C)(O)C(C)(C)O,21
O=Cc1cccc(B(O)O)c1,21
CCCC[N+](CCCC)(CCCC)CCCC.F.F.[F-],21
NCCCN,21
CC1CCCCC1,21
CC(C)(C)CN1Cc2c(cc(Cl)c3[nH]ncc23)C[C@@H](CC(=O)N2CCC(N3Cc4ccccc4NC3=O)CC2)C1=O,21
C=Cc1ccc(C=C)cc1.C=Cc1ccccc1.CCN(CC)Cc1ccccc1,21
CC(C)(C)c1cccc(NC(=O)c2ccc(N3CCN(c4ccc(C(=O)O)cc4)CC3)c(F)c2)c1,21
O.[Cs+].[OH-],21
C=CCCBr,21
O=C(O)c1ccc([N+](=O)[O-])cc1,21
C#Cc1ccc(C(C)(C)C)cc1,21
CN(C)C(OCC(C)(C)C)OCC(C)(C)C,21
CC(=O)Oc1ccc(O)cc1C(C)(C)C,21
NCl,21
CS(=O)(=O)c1ccc(N2CCCC2)c(C(=O)O)c1,21
O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,21
CNc1ccccc1,21
NC1CCCCC1N,21
CCCC[C@H](N)C(=O)O,21
[K+].[O-]c1ccccc1,21
CCCCCCCCCCCCCCCCSCC(CNS(=O)(=O)CCCI)OC,21
Cc1ccc(S(=O)(=O)OC[C@H]2COCCO2)cc1,21
C[Sn](C)C.C[Sn](C)C,21
CC(=O)NO,21
COC(=O)c1cc2cc(Nc3ncc(F)c(Nc4ccc(C(C)(C)C)cc4)n3)ccc2o1,21
CCCCCN1C(=O)C(O)(c2cc(Br)ccc2O)c2ccccc21,21
CCC(=O)CC,21
O=C([O-])[O-].[Ba+2],20
C1=NCCCN(C2CCCCCCCCCC2)CCCCC1,20
COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,20
NCc1cc(OCc2ccccc2)cc(OCc2ccccc2)c1,20
Brc1ccccn1,20
CCCCOC(C)=O,20
ClCCCBr,20
C=COC(=O)Cl,20
OC1CCN(Cc2ccccc2)CC1,20
N[C@@H](Cc1ccccc1)C(=O)O,20
CC(C)N=C=O,20
CC(C)=O.O=C([O-])[O-].[K+].[K+],20
C1CCOC1.CN(C)C=O,20
CC(C)[Al+]C(C)C.[H-],20
N#CN,20
O.[Ba+2].[OH-].[OH-],20
CCN=C=S,20
CCCC[N+](CCCC)(CCCC)CCCC.[N-]=[N+]=[N-],20
CC(=O)[O-].O.[Na+],20
O=C1CNC(=O)N1,20
CCN=C=NCCCN(CC)CC.Cl,20
COc1cccc(C(=CC#N)c2cc(OC)cc(OC)c2)c1,20
O=C([O-])[O-].[Ag+2],20
[K+].[O-][I+2]([O-])[O-],20
ClCCOCCCl,20
Oc1ccc(OCc2ccccc2)cc1,20
O=C1C(Br)=CC(Br)(Br)C=C1Br,20
C1=CCC=C1,20
CO.O=CO,20
COC(=O)C(O)C(C)C,20
O=C(O)c1ccc(S(=O)(=O)Cl)cc1,20
CCOc1ccccc1Nc1ncc(C(=O)OC)c(C(F)(F)F)n1,20
FC(F)(Br)C(F)(F)Br,20
CC[C@@H]1CN2CC[C@@H]1C[C@@H]2[C@H](Oc1nnc(O[C@H](c2ccnc3ccc(OC)cc23)[C@H]2C[C@@H]3CCN2C[C@@H]3CC)c2ccccc12)c1ccnc2ccc(OC)cc12,20
O=C1C(=O)N(Cc2ccc(C(F)(F)F)o2)c2ccccc21,20
C[P+](C)(C)CC#N.[Cl-],20
CCN(C(C)C)C(C)C.CN(C)C=O,20
COC(OC)(C(=O)c1ccccc1)c1ccccc1,20
O=c1[nH]cc(SCc2ccccc2)cc1O,20
Cl.O=c1[nH]cc[nH]1,20
O=C([O-])C1=NN(c2ccc(S(=O)(=O)[O-])cc2)C(=O)C1N=Nc1ccc(S(=O)(=O)[O-])cc1.[Na+].[Na+].[Na+],19
CC(=O)O.Cl,19
ClC(c1ccccc1)(c1ccccc1)c1ccccc1,19
COc1ccc(C(=O)Cl)cc1,19
O=C(Cl)OCc1ccccc1,19
ClCCN1CCOCC1,19
[O-][n+]1ccccc1O,19
O=P(Cl)(Cl)Oc1ccccc1,19
CNOC,19
CCCCC(CC)C(=O)[O-].[K+],19
CN(C)C(=NC(C)(C)C)N(C)C,19
OCc1ccco1,19
BrCc1ccsn1,19
C[Si](C)(C)N(C(=O)C(F)(F)F)[Si](C)(C)C,19
CCC[N+](CCC)(CCC)CCC,19
COC1CCCC1,19
CCCC(C)=O,19
O=C1CCc2ccccc21,19
O=C(Cl)c1ccccc1Cl,19
C[C@@H](O)[C@H](N)C(=O)O,19
Cl.Cl.NN,19
CCCCCCCCCCCC(=O)[O-].CCCCCCCCCCCC(=O)[O-].CCCC[Sn+2]CCCC,19
C#CCC(O)CCCC,19
F[B-](F)(F)F.[NH4+],19
CC(=O)OC[C@H]1O[C@@H](n2cnc3c(Cl)nc(Cl)nc32)[C@H](OC(C)=O)[C@@H]1OC(C)=O,19
Ic1ccccc1,19
CCCCBr,19
COS(=O)(=O)[O-],19
COS(=O)(=O)C(F)(F)F,19
CCOC(=O)[C@@H](N)CS.Cl,19
COC(=O)C1(C=O)CCC1,19
CCOC(=O)CNc1ncccc1[N+](=O)[O-],19
O=C(Cl)C1CC1,19
[K+].[O-][Br+2]([O-])[O-],19
COCCOC(=O)N=NC(=O)OCCOC,19
CNCc1cc2ccccc2n1C,19
F[B-](F)(F)F.[IH2+].c1ccncc1.c1ccncc1,19
CC12CC3(C)OC(C)(CC(C)(O1)P3c1ccccc1)O2,19
CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,19
O=S([O-])CO.[Na+],19
[Br-].[NH4+],18
COC(C)O,18
CCOC(=O)CN1C(=O)C2(COc3cc4c(cc32)OCO4)c2ccccc21,18
Cc1ccc(N)cc1O,18
Cc1ccc(O)cc1C,18
c1ccc2ccccc2c1,18
CC(S)S,18
C[S+](C)[B-](Br)(Br)Br,18
[Br-].[Li+].[Li]C,18
O=C(O)C(=O)O.c1ccc(OCCCN2CCC(=C(c3ccccc3)c3ccccc3)CC2)cc1,18
CC[Al](Cl)CC,18
Nc1ccccn1,18
CC(=O)c1ccc(S(=O)(=O)[O-])cc1.[Na+],18
CCO.O=C=O,18
Cl.Nc1nc(CO)c[nH]1,18
Brc1ncnc2nc[nH]c12,18
Nc1nc(Br)c2[nH]cnc2n1,18
O=C(O)Cc1csc(NC(=O)N(CC2CCCC2)c2ccc(F)c(F)c2)n1,18
CC(C)C[Al](CC(C)C)CC(C)C,18
[NH4+],18
O=C(ON1C(=O)CCC1=O)ON1C(=O)CCC1=O,18
CC1(C)OB(c2cn[nH]c2)OC1(C)C,18
BrBr.CC(=O)O,18
Nc1cccc2[nH]ncc12,18
O=[Mn](=O)([O-])[O-].[Ba+2],18
[Cl-],18
BrBr.O,18
N#CC(Cl)(Cl)Cl,18
ClCc1nccs1,18
C1CN=C2NCCCN2C1,18
O.O.O.O.O.O.O.O=S(=O)([O-])[O-].[Zn+2],18
O=c1cccc[nH]1,18
BrCc1ccccc1Br,18
F[P-](F)(F)(F)(F)F.[H+],18
O.O.O.[Na+].[O-]c1ccccc1,18
Cl.Nc1ncns1,18
O=P([O-])([O-])O.[NH4+].[NH4+],18
CCCCCCCCCCCCC,18
[O-][n+]1ccccc1,18
CC(N)O,18
CC(C)C(C)(C)C(C)(C)C(C)(C)S,18
CC(C)C(N)CCCCCCCCC(N)C(C)C,18
Nc1ccc(Br)cc1F,18
C=C[Mg]Br,18
Cc1nc(N2C[C@H](C)N(Cc3ccc(F)cc3)C2=O)sc1C(=O)O,18
CCCCCCCCCCCCCC(=O)OC(C)C,18
CC(C)c1cccc(C(C)C)c1CC(=O)O,18
NO[K],18
Nc1ccc(Oc2cccc(N)c2)cc1,18
Nc1cccc(Oc2cccc(Oc3cccc(N)c3)c2)c1,18
CC(=O)NCC(=O)O,18
C#Cc1ccccc1,18
CCc1nc(N[C@@H]2c3ccccc3C[C@@H]2O)c(CC)nc1Br,18
CCC[C@H](N[C@@H](c1ccc(Br)cc1)C(F)(F)F)C(=O)NC1(C#N)CC1,18
CC(C)(N)C(N)=O,18
CCCCC[C@H](O)CC[C@@H]1[C@H]2Cc3cccc(OCC(=O)O)c3C[C@H]2C[C@H]1O,18
COC(=O)C[C@H](Cc1ccc2[nH]ncc2c1CO)C(=O)OC,18
CCS(=O)(=O)c1ccc(NC(=O)CCCc2ccc(B(O)O)cc2)cc1C#N,18
N#Cc1ccccc1Cn1c(Cl)cc(=O)[nH]c1=O,18
COc1ccccc1C(c1ccc(NC(=O)C2(c3ccc4c(c3)OCO4)CC2)nc1)N(C)C,18
C[C@]12CCC(=O)CC1[C@@H](C#N)C[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,18
FC(F)(F)c1ccccc1,17
O.O.[Ca+2].[Cl-].[Cl-],17
Cc1ccc(COC(=O)NNC(=O)c2cnccn2)cc1,17
N#CC(=Cc1ccc(O)cc1)C(=O)O,17
O.O.[F-].[K+],17
BrCC1CO1,17
c1ccc(COCc2ccccc2)cc1,17
NNc1ccccn1,17
Fc1ccc(CBr)cc1,17
O=C(O)[C@H](O)[C@@H](O)C(=O)O,17
CC(C)S,17
[Cs+].[OH-],17
NN1CCCC1,17
CCCC[O-].[K+],17
CC(C)Br,17
CCCCCCO,17
O=C1CCCC1CCCCCO,17
C1CCOC1.ClCCl,17
CCCCOC(=O)Cl,17
OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,17
N=C(N)N,17
CCN=C=NCCCN(C)C.CI,17
C1=CN2CCCNC2CCC1,17
CC(=O)OI(OC(C)=O)c1ccccc1,17
Cc1cc(C)c(Br)c(C)c1,17
CN=C=O,17
OC1CCNCC1,17
COc1cc(C=O)ccc1O,17
CC1(C)CCC(=O)c2cc(Br)ccc21,17
Cn1c(C(N)S(=O)(=O)c2ccccc2)cc(=O)c(O)c1C(=O)O,17
c1c[nH]nn1,17
CC(=O)[O-].CC(=O)[O-].O.O.[Zn+2],17
Nc1ccc(Cl)cc1,17
O.O.O.O.O.O.[Cl-].[Cl-].[Mg+2],17
C=CCCCC,17
Cc1cccc(N)c1,17
O=[N+]([O-])c1ccccc1OCCCN1CCC(O)CC1,17
Oc1ccc2c(c1)CCC(c1cccc(F)c1)O2,17
B1CCCCCCCC1C1CCCCCCCC1,17
c1ccc(P(CCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,17
O=C(O)C1CCCN1,17
ClSCl,17
CCCCP(C12CC3CC(CC(C3)C1)C2)C12CC3CC(CC(C3)C1)C2,17
CC(C)NC1CCCCC1,17
O=C1C(Br)=C(c2ccccc2)c2ccc(O)cc21,17
[O-2].[Zn+2],17
COC(=O)[C@@H](N)CC(C)C,17
COc1ccc(C#N)cc1B(O)O,17
C[C@@H](N)C(=O)O,17
CCOC(=O)C1=C(c2ccc3c(c2)OCO3)c2ccccc2C1=O,17
C1=Cc2ccccc2CC1,17
O=C1CCCC2CC=CC=C12,17
CC(=O)O.CC(=O)O.O=Ic1ccccc1,17
Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1,17
CC[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](Oc1nnc(O[C@@H](c2ccnc3ccc(OC)cc23)[C@H]2C[C@@H]3CCN2C[C@@H]3CC)c2ccccc12)c1ccnc2ccc(OC)cc12,17
NC1CCOCC1,17
C=C(C)[C@@H]1CC[C@]2(NC(=O)CCN(C)C)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC=C(c6ccc(C(=O)O)cc6)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,17
OCCN1CCNCC1,16
ClCC1CO1,16
Cl.[Sn],16
[C-]#[N+]CS(=O)(=O)c1ccc(C)cc1,16
CCO.CO,16
CCO.[K+].[OH-],16
CCOC(=O)C(=O)OCC,16
O=C1CC(=O)N(c2ccc(NC(=O)c3ccccc3)cc2)c2ccc3ccccc3c2N1,16
CC[C@@H]1C(=O)N(C)c2cc(F)ccc2N1C(=O)c1ccc(O)cc1,16
C[Si](C)(C)O[Si](C)(C)C,16
COc1ccc(N2CCN(CCc3ccccc3)CC2)cc1,16
SCCS,16
B1CCON1,16
[Se],16
OB(O)c1ccoc1,16
O=C([O-])C(O)C(O)C(=O)[O-].[K+].[K+],16
Oc1ccc(Cl)cc1,16
CCCC[N+](CCCC)(CCCC)CCCC.CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])[O-],16
O.[K+].[OH-],16
COC(=O)c1ccc2cc[nH]c2c1,16
NC(=O)CCC(=O)NCl,16
CCN1CCCCC1,16
B#B.CSC,16
[AlH3],16
Br.CCOCC,16
CCCCCCCC/C=C\CCCCCCCC(=O)O,16
CCCCCC.c1ccccc1,16
CCCC(C)C.CCOC(C)=O,16
O=S(=O)(O)CCN1CCOCC1,16
CC(C)CN1CCN2CCN(CC(C)C)P1N(CC(C)C)CC2,16
O=C1CCC(c2c[nH]c3ccccc23)CC1,16
CCOC(=O)C(O)C(O)C(=O)OCC,16
Cc1cnc2c(ccc3c(C)c(C)cnc32)c1C,16
CN(C)[P+](N(C)C)(N(C)C)n1nnc2ccccc21.F[P-](F)(F)(F)(F)F,16
NCc1cocn1,16
CC(C)OC(=O)N=NC(=O)OC(C)C.Cc1ccccc1,16
ClC(Cl)Cl.[Br],16
CN1CCCCC1.Cl,16
O.O=S(=O)([O-])[O-].[Na+].[Na+],16
COc1ccc(CNc2cc(Oc3ccc(NC(=O)NC(=O)Cc4ccc(F)cc4)cc3F)ncn2)cc1,16
O=C(N[SiH3])C(F)(F)F,16
CC(C)C[C@@H]1NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CCN)NC(=O)[C@@H](NC(=O)[C@@H](N)CCN)CCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCN)NC(=O)[C@H](CCN)NC1=O.O=S(=O)(O)O,16
CCc1ccccc1,16
Cc1ccc(S(=O)(=O)NCl)cc1,16
CC[C@H](C(=O)O)c1ccccc1,16
C1CCOC1.CCC(C)[BH-](C(C)CC)C(C)CC.[Li+],16
CCc1ccc(Cn2cc(Br)ccc2=O)cc1,16
CNC(=S)[S-].[Na+],16
O=[PH2]Cl,16
O=P(Cl)(Cl)c1ccccc1,16
NOc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],16
COC(=O)CC(=O)C(C)Br,16
CC(C)(N)CO,16
CC(C)=C(C)C,16
CCN(CC)P(N(CC)CC)N(CC)CC,16
ICCI,16
Nc1cccc(S(=O)(=O)O)c1,16
N[C@@H](Cc1c(F)cccc1F)C(=O)O,16
O.O.O=[Cr](=O)([O-])O[Cr](=O)(=O)[O-].[K+].[K+],16
Cc1ccc(N)cc1F,16
Cc1ccc(NN)cc1F.Cl,16
CCN=C=NCCCN(OC)OC.Cl,16
OB(O)Oc1ccccc1,16
O.c1cnc2c(c1)ccc1cccnc12,16
O=C([O-])C(F)(F)F.[NH4+],16
[Li]c1nccs1,16
COc1ccc(Br)cc1[N+](=O)[O-],16
CCN(CC)CC.CCOC(=O)Cl,16
O=C=NCc1cccc(CN=C=O)c1,16
Cc1ccc([N+](=O)[O-])c(C(=O)O)c1[N+](=O)[O-],16
COc1nc(N)ncc1B1OC(C)(C)C(C)(C)O1,16
C1CNC1.Cl,16
CB1OC(c2ccccc2)(c2ccccc2)[C@H]2CCCN12.Cc1ccccc1,16
CC(=O)O.CO.ClC(Cl)Cl,15
O.[NH4+].[OH-],15
c1ccc2ncncc2c1,15
CCc1cc2c(cc1CC)CC(N(Cc1ccccc1)C[C@H](O)c1ccc(OCc3ccccc3)c(N)c1)C2,15
CC(C)(C)OC(=O)OC(C)(C)C,15
O=S(=O)([O-])S(=O)(=O)[O-].[Na+].[Na+],15
CCOC(=O)C1CC12CCCCC2,15
FC1(F)CCNCC1,15
O.[Na],15
CN(C)C=O.O,15
CC(C)OC(C)C.CCOC(C)=O,15
CC1=CCC=CC1,15
N=O,15
C[C@@H]1[C@@H](B(Cl)[C@H]2C[C@H]3C[C@@H]([C@@H]2C)C3(C)C)C[C@H]2C[C@@H]1C2(C)C,15
c1ccc(COOCc2ccccc2)cc1,15
C1CCOC1.CC(C)O,15
O=Cc1ccccc1O,15
CO.Cc1ccccc1,15
CCCCCCCC,15
CC(=O)C(C)C,15
BrCCCBr,15
O=S(=O)(OCC(F)(F)F)C(F)(F)F,15
CCO.CCOC(C)=O,15
CO.ClC(Cl)Cl.N,15
COC(=O)c1ccc(C(=O)O)nc1,15
Nc1ccc(C(=O)O)cc1,15
N[C@H]1c2ccccc2C[C@H]1O,15
c1ccc(SSc2ccccn2)nc1,15
CCC(=O)OC(=O)CC,15
CC#N.CC(=O)O.CCOC(C)=O.O,15
CCCCCC.ClC(Cl)Cl,15
CC(=O)[O-].CC(=O)[O-].CCCC[Sn+2]CCCC,15
Cc1cccnc1C,15
C=C(C)C(=O)OC,15
C[SiH](C)O[SiH](C)C,15
CN=C=S,15
O=C(CCl)OC(=O)CCl,15
C=CC=O,15
CCN(CC)C(F)(F)C(F)Cl,15
O=C1C=CC(=O)O1,15
O=C(Cl)c1ccccc1F,15
CCCP(=O)(O)O,15
[Li][Li],15
COc1cc(OC)cc(C(O)c2ccc3c(c2)OCCO3)c1,15
Cc1ccc(S(=O)[O-])cc1.[Na+],15
Cc1ccc(Cl)cc1,15
NCCCCN,15
[PH4+],15
C1CCOC1.CS(C)=O,15
N=C(N)S(=O)O,15
COc1ccc(S(=O)(=O)N2CC=CCC(NC(=O)OCc3ccccc3)C2C(=O)OC(C)(C)C)cc1,15
CCc1c(N[C@@H](C(=O)NNC(=O)c2ccccc2)[C@H](C)O)ccc(C#N)c1Cl,15
O=C([O-])C(F)(F)F.[Tl+],15
O=C(O)c1cc(C2CC2)c(OCC2(C(F)(F)F)CCCCC2)cc1F,15
Cc1c2ccccc2c(C)c2c1ccc1ccccc12,15
C[C@@H]1[C@H]2C[C@@H](C[C@H]1B(Cl)[C@@H]1C[C@@H]3C[C@H]([C@H]1C)C3(C)C)C2(C)C,15
Cc1ccnc(C)c1C,15
CC(C)CBr,15
C#CCCCCCC,15
Ic1ccc2c(c1)CN(C(c1ccccc1)(c1ccccc1)c1ccccc1)C2,15
O=C(Cl)Oc1ccc([N+](=O)[O-])cc1,15
ClC(N1CCCC1)=[N+]1CCCC1.F[P-](F)(F)(F)(F)F,15
O=C(O)c1ccccc1S,15
CN(C)[C+](On1nnc2ccccc21)N(C)C.F[B-](F)(F)F,15
NNC(=O)[C@H](Cc1c[nH]cn1)NC(=O)OCc1ccccc1,15
[Li+].[c-]1cccc2ccccc12,15
O=S(=O)([O-])OOS(=O)(=O)O.[K+],15
CC(NC(=O)c1ccc(N)c(Cl)c1)C(=O)N1CCCC1C(=O)O,15
C=C[Si](C)(C=C)O[Si](C)(C)C,15
NCP(=O)(O)O,15
Cc1cc2cccnc2c2ncccc12,15
CCCCO[C@@H]1[C@@H](C(O)=[SnH2])O[C@@H](n2ccc(=O)[nH]c2=O)[C@@]1(O)CCCC,15
OB(O)c1cncnc1,15
CCCCCCC(=O)O,15
CCCCCCCCCCc1nnn[nH]1,15
CCOC(=O)Cc1ccccc1Br,15
O=S(=O)(O)CCCS,15
CCN(SC)C(=O)c1sccc1[Si](C)(C)C,15
O=C1OC(F)(F)c2c(F)c(F)c(F)c(F)c21,15
COC(=O)CCC1(C(C)C)NC=CS1,15
O=C1Cc2ccccc2N1,15
Nc1ccc(I)c(Cl)c1,15
COC(=O)C(C)=O,15
O=[N+]([O-])C1CCCCCCCCCCC1,15
O=C(O)C(F)(I)c1ccccc1,15
CSc1ccc(C2C(c3ccc(Br)cc3)=NOC2(C)O)cc1F,15
BrCCC1CC1,15
Cc1cc(C)n2nc(C=O)nc2n1,15
ClCCCCBr,15
COC(=O)CP(=O)(OCC(F)(F)F)OCC(F)(F)F,15
C=CCCC[C@@H]1C[C@H](O)C[C@](O)([C@@H]2CSC(=O)N2Cc2ccc(OC)cc2)O1,15
CC(C)C1CCC(=O)C(Br)C1,15
O=[N+]([O-])[O-].O=[N+]([O-])[O-].O=[N+]([O-])[O-].[Nd+3],15
F[B-](F)(F)F,15
Cc1ccc(S(=O)(=O)OC[C@H]2CCCO2)cc1,15
C=C(C)C(=O)NCCC[N+](C)(C)C.C=CN1CCCC1=O.[Cl-],15
CC(C)Oc1cccc(OC(C)C)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1,15
Nc1ccc([N+](=O)[O-])cc1,14
C#C[Mg]Cl,14
O=[N+]([O-])c1ccccc1O,14
CCOC(C)=O.O=C([O-])O.[Na+],14
CCOC(=O)c1sc(N2CCN(CC3CC3(F)F)C2=O)nc1C,14
O=P(Cl)(Cl)OP(=O)(Cl)Cl,14
CC(=O)O.O=[N+]([O-])O,14
CCOC(=O)c1ccc(C#Cc2ccc3c(c2)C(C)(C)CCC3O)cc1,14
c1ccc2nc(N3CC4CCNCC43)cnc2c1,14
CCCC[N+](CCCC)(CCCC)CCCC,14
Cl.N#Cc1ccc(C2CNC2)cc1,14
c1ccc(Pc2ccccc2)cc1,14
CC(C)(C)S,14
COc1ccc(N2CCN(CCc3ccccc3)CC2)cc1C,14
O=C(O)c1ccc2c(c1)S(=O)(=O)c1ccccc1C=C2,14
N#Cc1ccc(CCl)cc1,14
c1ccc2ocnc2c1,14
FC(F)(F)c1ccc(C2=CCNCC2)cc1,14
CCOC(=O)CSc1nnc(N)s1,14
CCNCC.Cl,14
COc1ccccc1N1CCN(CCC2OCCc3ccccc32)CC1.Cl.Cl.O,14
O=C(O)CC1OCCc2cc(Br)ccc21,14
CCO[SiH](OCC)OCC,14
O=CCCCNC(=O)c1ccccc1,14
CCCCC(CC)CO,14
C=CC,14
B.c1ccncc1,14
CO.[NH4+].[OH-],14
O=C1C(=O)C(Cl)=C(Cl)C(Cl)=C1Cl,14
O=c1ccc2ccccc2o1,14
O=C(/N=N/C(=O)N1CCCCC1)N1CCCCC1,14
CN1CCNCC1[Al+]C1CNCCN1C.[H-],14
CCCCCCCCCCCCN,14
Cl.O=C1CN2CCC1CC2,14
[Cs],14
O.O.O.[Li+].[OH-],14
CN(C)CCC=C1c2ccccc2C=Cc2ccccc21,14
Nc1ccc(Oc2ccc3c(c2)CCC(c2ccccc2)O3)nc1,14
COc1ccccc1N,14
Clc1cc2c(nn1)CCNC2.O=C(O)/C=C\C(=O)O,14
COC(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1,14
C1CCOC1.CCCCCCC,14
C=C(C)C(=O)Cl,14
O=C(O)c1cc2ccccc2[nH]1,14
CC(C)OC(=O)[N+](=[N-])C(=O)OC(C)C,14
COc1cnc(C(=O)O)c(OC[C@H]2CCCN2C(=O)[C@H]2CC[C@H](C(F)(F)F)CC2)c1,14
Cl.N=C1CSC(N2CCCCC2)=N1,14
Cl.N=C1CSC(=N)N1,14
N=C1NC(=N)C2=C1CCCC2,14
CCCCOc1nc(N)c2nc(OC)n(CCCC3CCCCN3)c2n1,14
O=C(c1ccc(F)cc1)c1ccc(F)cc1,14
O=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,14
O=C(O)c1cncc(Br)c1,14
CCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,14
BrBr.c1ccc(P(c2ccccc2)c2ccccc2)cc1,14
[K+].[O-][Cl+2]([O-])[O-],14
COc1ccc(CCl)cc1,14
CC(C)C(NC(c1ccccc1)c1ccccc1)P(O)O,14
c1ccc(SSc2ccccc2)cc1,14
CC[Al+]CC.[C-]#N,14
C1CSCN1,14
CC(=O)[O-].[Cs+],14
C[Si](C)(C)N[Si](C)(C)C.[K],14
CC(C)(C)OC(=O)NN,14
O=[N+]([O-])O.O=[N+]([O-])O.O=[N+]([O-])O.O=[N+]([O-])O.O=[N+]([O-])O.O=[N+]([O-])O.[Ce],14
CC(=O)[O-].CC(=O)[O-].[Pd+2],14
N.On1nnc2ccccc21,14
O=C=NS(=O)(=O)N=C=O,14
O=C(Nc1nccs1)[C@H](CC1CCCCC1)N1Cc2ccccc2C1=O,14
C[NH3+].[Cl-],14
CCOC(=O)c1c(S(=O)(=O)Cl)c2cc(Cl)ccc2n1S(=O)(=O)c1ccccc1,14
COC(=O)Oc1c([N+](=O)[O-])cc(C(C)(C)C)cc1C(C)(C)C,14
O=BO[O-].[Na+],14
Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]c1=O,14
c1ccc(C(c2ccccc2)c2ccccc2)cc1,14
O=C([O-])C(F)(F)F.O=C([O-])C(F)(F)F.O=C([O-])C(F)(F)F.[B+3],14
O=C(CCl)CCl,14
CC1(C)[C@@H]2CC[C@@]1(CS(=O)(=O)O)C(=O)C2,14
Brc1ccc(Br)nc1,14
O=C(N[C@@H](Cc1cccs1)C(=O)O)OCc1ccccc1,14
CC(NC(=O)c1ccc(N)c(Cl)c1)C(=O)N1CCCC1C(=O)NC1CC(=O)OC1OCCc1ccccc1,14
NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,14
COc1ncc(CCl)cn1,14
Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1,14
CN(C)C(OC(C)(C)C)N(C)C,14
Cc1ccc(S(=O)(=O)OS(=O)(=O)c2ccc(C)cc2)cc1.O,14
CC/C=C\C/C=C\C/C=C\C/C=C\CCCCC(=O)O,14
O=C(O)CC(O)COc1ccccc1,14
CC(C)(C#N)c1ccc(CCC2(C3CCCC3)CC(O)=CC(=O)O2)cc1F,14
CCc1nc(C)c(C=O)[nH]1,14
CC(=O)/C(C)=N/O,14
CCCCOC(=O)c1ncc2cc(Oc3ccc(OC)cc3)ccc2c1O,14
N#Cc1n[nH]c2cc([N+](=O)[O-])ccc12,14
O=[N+]([O-])c1ccc2cn[nH]c2c1,14
N#Cc1ccc(N=C=O)c2c1CCCC2,14
Cc1cc(O)ccc1C=O,14
C=CCn1nc(C)c(N)c1Cl,14
Cc1cc(Cl)cc(C(=O)O)c1N,14
Brc1ccc(OCCN2CCOCC2)cc1,14
CCO[Si](CCCN)(OCC)OCC,14
Cc1ccc(C(=O)O)c(Cl)n1,14
NC(=O)C1=CN(Cc2ccccc2)C=CC1,14
